symbol,layer,entry_date,entry,exit_date,exit,ret,days,spy_ret,excess,open
CEG,power-gen,2024-03-20,173.37,2025-03-03,230.33,0.32857572623165066,348,0.13246774150924812,0.19610798472240254,False
CEG,power-gen,2025-05-01,239.03,2026-01-16,306.82,0.2836100784177391,260,0.24927669075505055,0.034333387662688564,False
CEG,power-gen,2026-02-27,328.93,2026-03-02,326.22,-0.00824545920802322,3,0.0005685787823312971,-0.008814037990354517,False
CEG,power-gen,2026-03-05,331.11,2026-03-06,318.14,-0.039178602544864494,1,-0.013107135070836495,-0.026071467474028,False
VST,power-gen,2024-03-20,65.86,2025-03-06,113.63,0.7253432107918378,351,0.11101233162040813,0.6143308791714297,False
VST,power-gen,2025-04-25,126.0,2025-11-21,168.13,0.3343761319574625,210,0.20370994267911757,0.13066618927834495,False
VST,power-gen,2026-01-15,179.93,2026-01-16,166.37,-0.07536903662508831,1,-0.0008378739908954103,-0.0745311626341929,False
TLN,power-gen,2024-03-20,86.85,2025-03-10,165.75,0.9084629005421219,355,0.08748111097497402,0.8209817895671478,False
TLN,power-gen,2025-03-24,218.96,2025-04-04,174.4,-0.2035075422500009,11,-0.11984395092614075,-0.08366359132386014,False
TLN,power-gen,2025-04-24,211.01,2026-02-02,340.8,0.6150893164538143,284,0.2831150158986766,0.33197430055513766,False
TLN,power-gen,2026-02-12,367.81,2026-03-02,353.24,-0.039612863763709094,18,0.007500677355346097,-0.04711354111905519,False
TLN,power-gen,2026-04-27,369.67,2026-04-28,361.17,-0.02299347983674538,1,-0.004865948728146163,-0.018127531108599215,False
TLN,power-gen,2026-04-30,372.42,2026-05-13,351.03,-0.05743519112081252,13,0.03290850374006604,-0.09034369486087857,False
NRG,power-gen,2024-03-20,64.82,2025-03-07,86.74,0.33827561854092614,352,0.11723952364821844,0.2210360948927077,False
NRG,power-gen,2025-03-24,101.29,2025-04-04,82.33,-0.18714752859598505,11,-0.11984395092614075,-0.0673035776698443,False
NRG,power-gen,2025-04-22,97.29,2026-01-07,147.99,0.5211496875484236,260,0.3192707080731727,0.2018789794752509,False
NRG,power-gen,2026-02-10,155.95,2026-03-06,153.85,-0.013488385153872628,24,-0.028521040544587817,0.015032655390715188,False
NRG,power-gen,2026-03-18,158.62,2026-03-20,145.35,-0.08365281955427861,2,-0.016764788124826846,-0.06688803142945177,False
