symbol,layer,entry_date,entry,exit_date,exit,ret,days,spy_ret,excess,open
TLN,power-gen,2026-05-22,372.45,2026-06-02,385.51,0.03506510170641142,11,0.018681927474545557,0.01638317423186586,True
D,power-gen,2025-06-23,53.52,2026-06-02,66.47,0.24204796387373406,344,0.2763689397758291,-0.03432097590209504,True
ETN,electrical,2026-04-01,364.55,2026-06-02,417.62,0.1455687078936967,62,0.15922412954759624,-0.013655421653899547,True
VRT,electrical,2025-05-12,100.93,2026-06-02,334.49,2.314235035726721,386,0.3178226563760793,1.9964123793506419,True
GEV,electrical,2025-04-15,327.59,2026-06-02,969.67,1.960004903818914,413,0.42906085901465185,1.5309440448042622,True
POWL,electrical,2025-07-17,78.62,2026-06-02,299.07,2.803847679203577,320,0.21968799974831565,2.5841596794552615,True
NVT,electrical,2025-06-03,65.7,2026-06-02,173.39,1.6392668769572483,364,0.28886144381786827,1.35040543313938,True
AEIS,electrical,2025-05-07,109.52,2026-06-02,312.28,1.8513148799364467,391,0.3691122527718791,1.4822026271645676,True
PWR,grid,2025-04-28,290.34,2026-06-02,706.06,1.431836000298932,400,0.39471264635758274,1.0371233539413494,True
MYRG,grid,2025-05-01,147.1,2026-06-02,450.31,2.061250706146854,397,0.3756826156728259,1.6855680904740282,True
MOD,cooling,2026-01-21,143.68,2026-06-02,306.89,1.1359272709662869,132,0.1112407356758085,1.0246865352904784,True
FIX,cooling,2025-04-25,396.16,2026-06-02,1883.26,3.7538401617597845,403,0.39524445320932244,3.358595708550462,True
SPXC,cooling,2026-05-22,207.8,2026-06-02,230.08,0.10721847185799849,11,0.018681927474545557,0.08853654438345293,True
MU,memory,2025-06-02,97.95,2026-06-02,1064.1,9.86419940801932,365,0.2962112926913101,9.56798811532801,True
ANET,networking,2026-05-14,147.81,2026-06-02,175.33,0.1861849991679465,19,0.01523721169582326,0.17094778747212325,True
COHR,networking,2025-06-25,85.63,2026-06-02,426.89,3.98528586174161,342,0.2617156716184119,3.7235701901231977,True
LITE,networking,2025-05-12,71.73,2026-06-02,1029.15,13.347552993869787,386,0.3178226563760793,13.029730337493707,True
CIEN,networking,2025-05-01,71.43,2026-06-02,627.0,7.777824406008968,397,0.3756826156728259,7.402141790336142,True
ALAB,networking,2026-04-13,166.79,2026-06-02,355.76,1.132917735370449,50,0.10708356559193422,1.0258341697785147,True
CRDO,networking,2026-04-13,134.36,2026-06-02,229.0,0.7043762947285745,50,0.10708356559193422,0.5972927291366403,True
MRVL,networking,2026-03-06,89.53,2026-06-02,290.79,2.2481363734948436,88,0.13275888904969557,2.115377484445148,True
MPWR,power-semi,2025-06-16,701.26,2026-06-02,1624.99,1.3172389663052195,351,0.27476837911836616,1.0424705871868534,True
POWI,power-semi,2026-01-27,45.6,2026-06-02,84.19,0.8461352116314218,126,0.0951191552387114,0.7510160563927104,True
DLR,dc-reit,2026-02-06,170.46,2026-06-02,187.26,0.09856090088598157,116,0.10284155862570121,-0.00428065773971964,True
EQIX,dc-reit,2026-01-26,798.03,2026-06-02,1071.8,0.34305410611355835,127,0.09948239986373086,0.2435717062498275,True
